고시날짜,내가_살때_순금_3.75g,내가_팔때_순금_3.75g,내가_팔때_18K_3.75g,내가_팔때_14K_3.75g
2025-12-25,913000,776000,570400,442400
2025-12-24,929000,779000,572600,444100
2025-12-23,936000,787000,578500,448600
2025-12-22,919000,766000,563100,436700
2025-12-20,901000,761000,559400,433800
2025-12-19,900000,761000,559400,433800
2025-12-18,902000,762000,560100,434400
2025-12-17,901000,762000,560100,434400
2025-12-16,891000,755000,555000,430400
2025-12-15,899000,759000,557900,432700
2025-12-13,893000,755000,555000,430400
2025-12-12,888000,750000,551300,427500
2025-12-11,873000,743000,546200,423600
2025-12-10,872000,740000,543900,421800
2025-12-09,868000,738000,542500,420700
2025-12-08,871000,740000,543900,421800
2025-12-06,871000,738000,542500,420700
2025-12-05,874000,738000,542500,420700
2025-12-04,870000,738000,542500,420700
2025-12-03,874000,738000,542500,420700
2025-12-02,872000,740000,543900,421800
2025-12-01,878000,745000,547600,424700
2025-11-29,874000,741000,544700,422400
2025-11-28,862000,733000,538800,417900
2025-11-27,856000,731000,537300,416700
2025-11-26,861000,732000,538100,417300
2025-11-25,859000,733000,538800,417900
2025-11-24,842000,725000,532900,413300
2025-11-22,841000,725000,532900,413300
2025-11-21,838000,724000,532200,412700
2025-11-20,844000,727000,534400,414400
2025-11-19,845000,725000,532900,413300
2025-11-18,828000,720000,529200,410400
2025-11-17,841000,730000,536600,416100
2025-11-15,833000,720000,529200,410400
2025-11-14,864000,740000,543900,421800
2025-11-13,874000,740000,543900,421800
2025-11-12,859000,730000,536600,416100
2025-11-11,863000,720000,529200,410400
